"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Male","Status in employment (Aggregate): Total","Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply","2022",2123.211,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Male","Status in employment (Aggregate): Total","Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services","2022",26297.465,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Male","Status in employment (Aggregate): Total","Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities","2022",9474.81,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Female","Status in employment (Aggregate): Total","Economic activity (Aggregate): Total","2022",52967.382,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Female","Status in employment (Aggregate): Total","Economic activity (Aggregate): Agriculture","2022",14051.56,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Female","Status in employment (Aggregate): Total","Economic activity (Aggregate): Manufacturing","2022",8239.064,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Female","Status in employment (Aggregate): Total","Economic activity (Aggregate): Construction","2022",138.451,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Female","Status in employment (Aggregate): Total","Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply","2022",265.121,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Female","Status in employment (Aggregate): Total","Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services","2022",20183.178,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Female","Status in employment (Aggregate): Total","Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities","2022",10090.009,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Total","Status in employment (Aggregate): Total","Economic activity (Aggregate): Total","2021",130518.159,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Total","Status in employment (Aggregate): Total","Economic activity (Aggregate): Agriculture","2021",37833.56,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Total","Status in employment (Aggregate): Total","Economic activity (Aggregate): Manufacturing","2021",18165.45,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Total","Status in employment (Aggregate): Total","Economic activity (Aggregate): Construction","2021",8041.2,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Total","Status in employment (Aggregate): Total","Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply","2021",2195.97,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Total","Status in employment (Aggregate): Total","Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services","2021",44782.191,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
